"","x"
"1343",1630
"1344",1608
"1345",1200
"1346",900
"1347",1735
"1348",2300
"1349",2200
"1350",1600
"1351",1650
"1352",1100
"1353",2130
"1354",700
"1355",1800
"1356",1000
"1357",430
"1358",2015
"1359",1900
"1360",2130
"1361",1115
"1362",2155
"1363",2100
"1364",1500
"1365",1
"1366",1400
"1367",1900
"1368",1620
"1369",1500
"1370",945
"1371",1200
"1372",1900
"1373",1820
"1374",805
"1375",1
"1376",1030
"1377",800
"1378",300
"1379",345
"1380",100
"1381",1715
"1382",1500
"1383",1615
"1384",200
"1385",2100
"1386",2020
"1387",1330
"1388",200
"1389",1800
"1390",1230
"1391",1400
"1392",1500
"1393",1630
"1394",1200
"1395",140
"1396",200
"1397",1705
"1398",1200
"1399",1200
"1400",1800
"1401",500
"1402",15
"1403",1830
"1404",800
"1405",1700
"1406",2300
"1407",1050
"1408",2100
"1409",845
"1410",1730
"1411",1800
"1412",1200
"1413",2300
"1414",1750
"1415",1515
"1416",5
"1417",400
"1418",1830
"1419",945
"1420",600
"1421",2230
"1422",1200
"1423",1200
"1424",1800
"1425",1300
"1426",315
"1427",2015
"1428",1230
"1429",1200
"1430",600
"1431",1100
"1432",720
"1433",2320
"1434",700
"1435",1330
"1436",945
"1437",300
"1438",1900
"1439",1100
"1440",800
"1441",200
"1442",800
"1443",2100
"1444",1700
"1445",845
"1446",1400
"1447",1200
"1448",1800
"1449",1845
"1450",1200
"1451",1430
"1452",1500
"1453",1100
"1454",2030
"1455",925
"1456",1000
"1457",2000
"1458",2100
"1459",1230
"1460",1200
"1461",1745
"1462",2300
"1463",400
"1464",530
"1465",330
"1466",1500
"1467",100
"1468",1930
"1469",500
"1470",330
"1471",2035
"1472",930
"1473",2315
"1474",1400
"1475",600
"1476",2100
"1477",2130
"1478",2300
"1479",2100
"1480",400
"1481",1600
"1482",1800
"1483",920
"1484",1113
"1485",200
"1486",1200
"1487",1015
"1488",1
"1489",2100
"1490",1900
"1491",1750
"1492",2000
"1493",1100
"1494",830
"1495",30
"1496",200
"1497",2300
"1498",1330
"1499",300
"1500",1730
"1501",1800
"1502",1700
"1503",1615
"1504",1100
"1505",1200
"1506",1200
"1507",1200
"1508",1230
"1509",1718
"1510",1300
"1511",230
"1512",2230
"1513",100
"1514",1700
"1515",2200
"1516",1330
"1517",2200
"1518",2130
"1519",2000
"1520",2100
"1521",1810
"1522",400
"1523",1455
"1524",1650
"1525",1500
"1526",1200
"1527",1105
"1528",320
"1529",1330
"1530",1500
"1531",1910
"1532",1600
"1533",840
"1534",10
"1535",1230
"1536",1430
"1537",1140
"1538",2016
"1539",830
"1540",1500
"1541",2115
"1542",1250
"1543",1500
"1544",2350
"1545",2245
"1546",320
"1547",1000
"1548",1615
"1549",2300
"1550",1600
"1551",1800
"1552",1
"1553",2200
"1554",2355
"1555",1500
"1556",2200
"1557",1500
"1558",1245
"1559",1200
"1560",150
"1561",1600
"1562",1530
"1563",1630
"1564",1058
"1565",1520
"1566",300
"1567",2100
"1568",2330
"1569",1200
"1570",1815
"1571",1330
"1572",1350
"1573",1230
"1574",2000
"1575",1500
"1576",345
"1577",230
"1578",1900
"1579",1500
"1580",926
"1581",1
"1582",2300
"1583",2100
"1584",1350
"1585",615
"1586",1320
"1587",1200
"1588",1200
